feedback_id,student_id,course_id,rating,comments
1,1,5,1,Great course!
2,2,7,3,Well structured.
3,3,5,4,Very helpful!
4,4,10,3,Well structured.
5,5,6,1,Needs improvement.
6,6,2,3,Average experience.
7,7,4,2,Needs improvement.
8,8,10,1,Well structured.
9,9,4,2,Great course!
10,10,5,1,Average experience.
11,11,8,5,Average experience.
12,12,4,4,Very helpful!
13,13,8,2,Average experience.
14,14,9,3,Well structured.
15,15,9,3,Average experience.
16,16,4,4,Needs improvement.
17,17,7,5,Very helpful!
18,18,5,5,Very helpful!
19,19,3,1,Very helpful!
20,20,1,3,Average experience.
21,21,2,1,Needs improvement.
22,22,6,4,Needs improvement.
23,23,6,4,Average experience.
24,24,4,5,Needs improvement.
25,25,4,5,Well structured.
26,26,10,3,Needs improvement.
27,27,2,2,Average experience.
28,28,9,5,Great course!
29,29,6,2,Needs improvement.
30,30,5,1,Great course!
31,31,2,2,Very helpful!
32,32,8,1,Well structured.
33,33,7,4,Average experience.
34,34,10,4,Well structured.
35,35,6,3,Average experience.
36,36,2,5,Needs improvement.
37,37,2,3,Needs improvement.
38,38,7,5,Well structured.
39,39,9,1,Well structured.
40,40,10,4,Very helpful!
41,41,1,3,Great course!
42,42,7,2,Great course!
43,43,5,3,Well structured.
44,44,9,1,Great course!
45,45,9,1,Great course!
46,46,7,4,Great course!
47,47,2,3,Great course!
48,48,4,5,Very helpful!
49,49,1,3,Well structured.
50,50,9,2,Needs improvement.
